PartNumber,PartDescription,active,ItemCost,ItemCurrencyCode,Length,Width,Height,DimensionUOM,Weight,WeightUOM,Quantity
  4OC3/ATM-MM-SC=,"  4 PORT OC3/STM1 MULTIMODE ATM LINE CARD,",TRUE,14740.32,USD,,,,,,,0
  AS5301-DC-RPS=,  POWER SUPPLY,TRUE,5213,USD,,,,,,,0
  MEM-1X8F-DFB=,  8MB FLASH SIMM (DUAL FLASH BANK) SPARE,TRUE,245,USD,,,,,,,0
  MEM-381-1X16F=,  16MB FLASH MEMORY FOR MC3810 (SPARE),TRUE,350,USD,,,,,,,0
 SA6-COOLING=,SA6-COOLING=,TRUE,0,USD,,,,,,,0
 WIC-2A/S=,2-Port Async/Sync Serial WAN Interface Card Spare,TRUE,175,USD,,,,,,,0
008HW,Part created for script running on UAT,TRUE,1,USD,,,,,,,0
01-1105-01,"ASIC-ASY,PACIFIC,XX500 GBPS, Tj XX 86 W at XXX 105 C",TRUE,0,USD,,,,,,,0
016-5PACK,Five(GSR16/80-AC-8R+2GRP256M+64M+SW),TRUE,26250,USD,,,,,,,0
01FT562,IBM SAN50C-R 16G FC switch 1/10G FCIP SAN extension,TRUE,0,USD,,,,,,,0
01FT563,IBM SAN32C-6 32G 8-Port FC Fabric Switch,TRUE,0,USD,,,,,,,0
01FT564,"IBM SAN768C-6 32G Modular FC switch , 16 payload slots",TRUE,0,USD,,,,,,,0
01FT565,"IBM SAN384C-6 32G Modular FC switch , 8 payload slots",TRUE,0,USD,,,,,,,0
01FT566,"IBM SAN192C-6 32G Modular FC switch , 4 payload slots",TRUE,0,USD,,,,,,,0
01FT567,"IBM SAN32C-6 32G 24-Port Ent switch, 24 16G SFP, Ent License",TRUE,,USD,,,,,,,0
01FT568,"IBM SAN768C-6 32G Modular FC switch, 16 payload slots, spare",TRUE,0,USD,,,,,,,0
01FT569,"IBM SAN384C-6 32G Modular FC switch , 8 payload slots, spare",TRUE,0,USD,,,,,,,0
01FT570,"IBM SAN192C-6 32G Modular FC switch , 4 payload slots, spare",TRUE,0,USD,,,,,,,0
01FT571,"IBM SAN50C-R 16G FC switch 1/10G FCIP SAN extension , spare",TRUE,0,USD,,,,,,,0
01FT572,"IBM SAN32C-6 32G FC fabric switch,  spare",TRUE,0,USD,,,,,,,0
01FT600,"IBM SAN192C-6/SAN384C-6 Supervisor module, spare",TRUE,0,USD,,,,,,,0
01FT600X,IBM SAN192C-6/SAN384C-6 Supervisor module,TRUE,0,USD,,,,,,,0
01FT601,"IBM SAN768C-6 Supervisor module, spare",TRUE,0,USD,,,,,,,0
01FT601X,IBM SAN768C-6 Supervisor module,TRUE,0,USD,,,,,,,0
01FT644,IBM 32G 48-Port Module for IBM modular directors,TRUE,0,USD,,,,,,,0
01FT645,IBM 16G/40G FCIP module for IBM 32G modular directors,TRUE,0,USD,,,,,,,0
02-100156-01,"WAFER,SILICON PHOTONICS,OASIS WT Platform",TRUE,0,USD,,,,,,,0
02310JPR,"RH2285,BC1HDD08,HDD,300GB,SAS Interface,10000rpm,2.5 inch,64MB,Hot-Swappable,only HGST model,Built-In.Front Panel",TRUE,186.3,USD,,,,,,,0
2314586,"RRU3801C,QWEM8RRUA2,Distributed Base Station Radio Remote Unit(-48V,DHT 40W,1.25G,900M)",TRUE,1,USD,,,,,,,0
2351080,"NetEngine80E,CR5Z2BKPC,Integrated Chassis Components",TRUE,1,USD,,,,,,,0
2351462,"NetEngine80E,CR5Z6BKPC,Integrated Chassis Components(NE80E),8KW",TRUE,1,USD,,,,,,,0
2354209,"eSpace U1980,U18Z02ACFC,AC Integrated Frame Components",TRUE,980.13,USD,,,,,,,0
2358179,"eSpace IAD132E(T),AG1ZD32H,Integrated Access Device Basic Unit(32 Ports Standard Version,SIP/MGCP, include Power Module)",TRUE,503.3,USD,,,,,,,0
02JD635,"IBM 32G 48-Port module for modular directors, spare",TRUE,0,USD,,,,,,,0
02JD636,"IBM 16G/40G FCIP module for IBM 32G modular directors, spare",TRUE,0,USD,,,,,,,0
02JD718,IBM SAN48C-6 32G 48-Port FC Fabric Switch,TRUE,,USD,,,,,,,0
02JD719,IBM SAN96C-6 32G 96-Port FC Fabric Switch,TRUE,,USD,,,,,,,0
02JD720,"IBM SAN48C-6 32G 48-Port FC Fabric Switch, FRU",TRUE,0,USD,,,,,,,0
02JD721,"IBM SAN96C-6 32G 96-Port FC Fabric Switch, FRU",TRUE,0,USD,,,,,,,0
